Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
200.25        	1.388681e+00	6.943405e-01	6.943405e-01	2.636642e-01	1.363389e-01	1.273254e-01	4.506751e-03	-2.257614e-20	-1.130153e-20	-3.204469e-20	-2.732387e-20	-4.720816e-21
200.5         	1.389205e+00	6.946026e-01	6.946026e-01	2.888582e-01	1.486823e-01	1.401759e-01	4.253221e-03	-2.238716e-20	-1.117056e-20	-3.253067e-20	-2.743589e-20	-5.094782e-21
200.75        	1.391799e+00	6.958995e-01	6.958995e-01	3.091159e-01	1.584844e-01	1.506315e-01	3.926477e-03	-2.221472e-20	-1.107824e-20	-3.222536e-20	-2.719092e-20	-5.034445e-21
201           	1.394278e+00	6.971390e-01	6.971390e-01	3.230928e-01	1.650784e-01	1.580144e-01	3.532002e-03	-2.210981e-20	-1.100760e-20	-3.183525e-20	-2.692523e-20	-4.910022e-21
201.25        	1.396793e+00	6.983963e-01	6.983963e-01	3.320662e-01	1.691096e-01	1.629566e-01	3.076464e-03	-2.206077e-20	-1.096064e-20	-3.153080e-20	-2.672603e-20	-4.804763e-21
201.5         	1.398519e+00	6.992596e-01	6.992596e-01	3.349300e-01	1.700330e-01	1.648970e-01	2.568041e-03	-2.207524e-20	-1.092763e-20	-3.123306e-20	-2.654416e-20	-4.688902e-21
201.75        	1.400004e+00	7.000020e-01	7.000020e-01	3.317562e-01	1.678940e-01	1.638623e-01	2.015859e-03	-2.215067e-20	-1.091652e-20	-3.103686e-20	-2.643495e-20	-4.601910e-21
202           	1.401269e+00	7.006347e-01	7.006347e-01	3.233151e-01	1.630874e-01	1.602277e-01	1.429847e-03	-2.227608e-20	-1.092607e-20	-3.097706e-20	-2.641460e-20	-4.562463e-21
202.25        	1.401626e+00	7.008129e-01	7.008129e-01	3.090674e-01	1.553542e-01	1.537132e-01	8.205246e-04	-2.245327e-20	-1.094866e-20	-3.096587e-20	-2.643159e-20	-4.534280e-21
202.5         	1.401506e+00	7.007531e-01	7.007531e-01	2.896482e-01	1.450227e-01	1.446255e-01	1.986210e-04	-2.267720e-20	-1.098925e-20	-3.105334e-20	-2.651593e-20	-4.537418e-21
202.75        	1.400498e+00	7.002492e-01	7.002492e-01	2.651181e-01	1.321341e-01	1.329841e-01	-4.249940e-04	-2.294591e-20	-1.104252e-20	-3.119678e-20	-2.664092e-20	-4.555868e-21
203           	1.398970e+00	6.994848e-01	6.994848e-01	2.361642e-01	1.170424e-01	1.191217e-01	-1.039638e-03	-2.325521e-20	-1.111254e-20	-3.142175e-20	-2.682341e-20	-4.598339e-21
203.25        	1.396589e+00	6.982943e-01	6.982943e-01	2.030634e-01	9.989680e-02	1.031666e-01	-1.634900e-03	-2.360183e-20	-1.119355e-20	-3.169723e-20	-2.704216e-20	-4.655065e-21
203.5         	1.394723e+00	6.973613e-01	6.973613e-01	1.663029e-01	8.095067e-02	8.535227e-02	-2.200802e-03	-2.398890e-20	-1.130575e-20	-3.214304e-20	-2.737727e-20	-4.765772e-21
203.75        	1.392077e+00	6.960384e-01	6.960384e-01	1.267489e-01	6.064653e-02	6.610232e-02	-2.727894e-03	-2.440255e-20	-1.142738e-20	-3.259472e-20	-2.772474e-20	-4.869976e-21
204           	1.389448e+00	6.947239e-01	6.947239e-01	8.518929e-02	3.938725e-02	4.580204e-02	-3.207395e-03	-2.483891e-20	-1.156782e-20	-3.311865e-20	-2.812714e-20	-4.991507e-21
204.25        	1.387049e+00	6.935244e-01	6.935244e-01	4.196833e-02	1.735282e-02	2.461551e-02	-3.631345e-03	-2.529756e-20	-1.172726e-20	-3.369599e-20	-2.857525e-20	-5.120741e-21
204.5         	1.384835e+00	6.924176e-01	6.924176e-01	-2.066232e-03	-5.025761e-03	2.959528e-03	-3.992645e-03	-2.576853e-20	-1.190139e-20	-3.431495e-20	-2.905887e-20	-5.256088e-21
204.75        	1.383360e+00	6.916800e-01	6.916800e-01	-4.587709e-02	-2.722369e-02	-1.865339e-02	-4.285149e-03	-2.624076e-20	-1.209412e-20	-3.497554e-20	-2.958189e-20	-5.393656e-21
205           	1.382430e+00	6.912150e-01	6.912150e-01	-8.920679e-02	-4.910708e-02	-4.009971e-02	-4.503685e-03	-2.671216e-20	-1.229794e-20	-3.568476e-20	-3.014032e-20	-5.544439e-21
205.25        	1.382097e+00	6.910484e-01	6.910484e-01	-1.312900e-01	-7.028912e-02	-6.100084e-02	-4.644144e-03	-2.717405e-20	-1.250903e-20	-3.638274e-20	-3.070040e-20	-5.682338e-21
205.5         	1.382233e+00	6.911164e-01	6.911164e-01	-1.703986e-01	-8.990311e-02	-8.049550e-02	-4.703804e-03	-2.760398e-20	-1.271575e-20	-3.706666e-20	-3.124908e-20	-5.817581e-21
205.75        	1.383204e+00	6.916019e-01	6.916019e-01	-2.072145e-01	-1.082884e-01	-9.892612e-02	-4.681135e-03	-2.801132e-20	-1.292080e-20	-3.772707e-20	-3.178434e-20	-5.942731e-21
206           	1.384364e+00	6.921821e-01	6.921821e-01	-2.402439e-01	-1.246981e-01	-1.155457e-01	-4.576206e-03	-2.837455e-20	-1.311048e-20	-3.832940e-20	-3.227518e-20	-6.054225e-21
206.25        	1.386340e+00	6.931698e-01	6.931698e-01	-2.688337e-01	-1.388074e-01	-1.300263e-01	-4.390570e-03	-2.868770e-20	-1.329214e-20	-3.892573e-20	-3.275500e-20	-6.170727e-21
206.5         	1.388647e+00	6.943236e-01	6.943236e-01	-2.933348e-01	-1.507946e-01	-1.425401e-01	-4.127254e-03	-2.895280e-20	-1.345491e-20	-3.946888e-20	-3.318935e-20	-6.279529e-21
206.75        	1.390747e+00	6.953733e-01	6.953733e-01	-3.116626e-01	-1.596222e-01	-1.520404e-01	-3.790909e-03	-2.914163e-20	-1.358672e-20	-3.990580e-20	-3.353962e-20	-6.366176e-21
207           	1.393199e+00	6.965994e-01	6.965994e-01	-3.251826e-01	-1.659787e-01	-1.592039e-01	-3.387404e-03	-2.927399e-20	-1.369946e-20	-4.031693e-20	-3.385793e-20	-6.459001e-21
207.25        	1.395314e+00	6.976570e-01	6.976570e-01	-3.328266e-01	-1.693374e-01	-1.634892e-01	-2.924091e-03	-2.933318e-20	-1.378236e-20	-4.063941e-20	-3.410207e-20	-6.537344e-21
207.5         	1.397273e+00	6.986363e-01	6.986363e-01	-3.349488e-01	-1.698838e-01	-1.650651e-01	-2.409352e-03	-2.932478e-20	-1.383914e-20	-4.090704e-20	-3.429266e-20	-6.614375e-21
207.75        	1.398821e+00	6.994106e-01	6.994106e-01	-3.310345e-01	-1.673698e-01	-1.636647e-01	-1.852523e-03	-2.924145e-20	-1.387026e-20	-4.112451e-20	-3.443251e-20	-6.691999e-21
208           	1.399503e+00	6.997514e-01	6.997514e-01	-3.216176e-01	-1.620724e-01	-1.595452e-01	-1.263614e-03	-2.908975e-20	-1.386693e-20	-4.121027e-20	-3.447207e-20	-6.738200e-21
208.25        	1.399432e+00	6.997160e-01	6.997160e-01	-3.065996e-01	-1.539529e-01	-1.526467e-01	-6.530791e-04	-2.886949e-20	-1.383579e-20	-4.122245e-20	-3.444701e-20	-6.775439e-21
